date,temp_c,precip_mm,weathercode
2008-01-01,0.0,0.0,71
2008-01-02,-0.35000000000000003,0.0,3
2008-01-03,-1.1,0.0,3
2008-01-04,0.1499999999999999,0.0,3
2008-01-05,4.2,4.8,55
2008-01-06,3.1,3.3,53
2008-01-07,3.65,8.9,61
2008-01-08,4.25,0.5,51
2008-01-09,4.8,2.1,53
2008-01-10,6.050000000000001,0.0,3
2008-01-11,9.399999999999999,0.0,3
2008-01-12,6.35,0.1,51
2008-01-13,3.7,0.0,2
2008-01-14,4.0,0.0,3
2008-01-15,7.300000000000001,1.1,53
2008-01-16,6.3,2.0,51
2008-01-17,5.9,3.9,61
2008-01-18,7.95,6.8,61
2008-01-19,10.05,21.0,61
2008-01-20,9.8,12.1,61
2008-01-21,8.7,5.9,55
2008-01-22,4.7,7.1,61
2008-01-23,3.8,0.2,51
2008-01-24,6.5,3.5,61
2008-01-25,4.25,0.0,3
2008-01-26,6.550000000000001,1.0,51
2008-01-27,7.4,4.9,53
2008-01-28,7.0,0.0,3
2008-01-29,4.3,0.0,3
2008-01-30,2.3,2.6,53
2008-01-31,1.95,1.0,73
2008-02-01,4.7,3.8,53
2008-02-02,1.65,3.8,73
2008-02-03,2.1999999999999997,0.0,3
2008-02-04,4.45,0.0,3
2008-02-05,4.85,4.6,71
2008-02-06,6.25,12.0,61
2008-02-07,4.15,0.0,3
2008-02-08,6.800000000000001,0.0,3
2008-02-09,6.3999999999999995,0.0,2
2008-02-10,5.6000000000000005,0.0,3
2008-02-11,5.3500000000000005,0.0,0
2008-02-12,1.7999999999999998,0.0,3
2008-02-13,2.6,0.0,3
2008-02-14,1.95,0.1,51
2008-02-15,-0.30000000000000004,0.0,3
2008-02-16,-1.6,0.0,2
2008-02-17,0.3999999999999999,0.0,2
2008-02-18,1.15,0.0,3
2008-02-19,1.7000000000000002,0.0,3
2008-02-20,3.3,0.0,3
2008-02-21,5.3,0.9,51
2008-02-22,8.5,1.1,51
2008-02-23,7.65,1.1,53
2008-02-24,8.75,0.0,3
2008-02-25,6.95,2.0,53
2008-02-26,9.5,4.3,53
2008-02-27,6.25,1.1,51
2008-02-28,5.65,0.0,3
2008-02-29,7.25,3.5,55
2008-03-01,7.05,17.4,63
2008-03-02,7.25,6.4,55
2008-03-03,4.95,2.2,53
2008-03-04,2.8,0.4,51
2008-03-05,1.85,0.0,2
2008-03-06,3.45,0.8,51
2008-03-07,7.25,0.3,51
2008-03-08,6.5,0.0,3
2008-03-09,7.35,0.0,3
2008-03-10,8.65,0.6,51
2008-03-11,7.85,8.2,61
2008-03-12,7.2,9.5,61
2008-03-13,6.550000000000001,3.1,53
2008-03-14,7.05,1.2,51
2008-03-15,5.7,0.0,3
2008-03-16,7.5,16.8,61
2008-03-17,3.7,1.0,71
2008-03-18,3.1500000000000004,3.0,71
2008-03-19,3.05,3.9,73
2008-03-20,2.65,8.4,73
2008-03-21,2.9,14.4,75
2008-03-22,1.7999999999999998,5.7,73
2008-03-23,-1.6,0.0,3
2008-03-24,0.0,2.9,73
2008-03-25,1.4000000000000001,4.1,73
2008-03-26,2.05,1.0,73
2008-03-27,2.1,0.0,3
2008-03-28,5.0,0.5,51
2008-03-29,7.8,3.5,55
2008-03-30,11.9,1.2,53
2008-03-31,9.8,0.4,51
2008-04-01,8.45,1.1,51
2008-04-02,7.95,6.5,55
2008-04-03,7.0,5.3,53
2008-04-04,6.25,0.5,51
2008-04-05,5.15,6.3,55
2008-04-06,3.8000000000000003,2.3,53
2008-04-07,1.5499999999999998,8.1,73
2008-04-08,2.6999999999999997,0.3,51
2008-04-09,5.7,1.1,51
2008-04-10,4.3,0.0,3
2008-04-11,5.25,1.1,53
2008-04-12,7.449999999999999,0.1,51
2008-04-13,7.3,7.0,63
2008-04-14,5.3999999999999995,7.9,53
2008-04-15,5.45,2.8,55
2008-04-16,3.3499999999999996,1.3,51
2008-04-17,3.85,0.0,3
2008-04-18,6.800000000000001,0.1,51
2008-04-19,6.25,0.0,3
2008-04-20,8.35,0.0,3
2008-04-21,10.05,0.0,3
2008-04-22,11.3,0.0,3
2008-04-23,11.149999999999999,0.0,3
2008-04-24,12.05,0.1,51
2008-04-25,11.2,4.2,53
2008-04-26,9.65,0.0,3
2008-04-27,13.05,0.0,3
2008-04-28,15.25,13.6,63
2008-04-29,11.850000000000001,1.4,51
2008-04-30,13.1,1.6,53
2008-05-01,11.100000000000001,0.8,51
2008-05-02,9.8,0.9,53
2008-05-03,11.1,0.0,3
2008-05-04,11.35,0.0,2
2008-05-05,11.2,0.0,3
2008-05-06,14.100000000000001,0.0,0
2008-05-07,14.0,0.0,0
2008-05-08,14.45,0.0,0
2008-05-09,15.85,0.0,0
2008-05-10,16.6,0.0,0
2008-05-11,15.75,0.0,0
2008-05-12,15.899999999999999,0.0,2
2008-05-13,15.85,2.3,61
2008-05-14,15.9,0.0,1
2008-05-15,15.25,3.3,55
2008-05-16,14.8,10.8,63
2008-05-17,11.45,9.6,61
2008-05-18,11.3,0.0,3
2008-05-19,10.649999999999999,0.0,3
2008-05-20,9.55,0.0,3
2008-05-21,11.5,0.0,3
2008-05-22,12.55,0.0,3
2008-05-23,12.7,0.0,2
2008-05-24,14.6,0.0,3
2008-05-25,14.65,4.7,61
2008-05-26,14.9,2.9,55
2008-05-27,14.95,2.2,53
2008-05-28,19.55,11.8,63
2008-05-29,18.25,0.2,51
2008-05-30,21.7,0.0,3
2008-05-31,20.15,2.7,55
2008-06-01,19.95,4.4,63
2008-06-02,21.05,0.3,51
2008-06-03,18.7,0.0,3
2008-06-04,18.9,7.9,61
2008-06-05,19.0,0.0,3
2008-06-06,17.8,0.0,3
2008-06-07,18.4,0.0,2
